Company,Item,Calories,Protein,Protein Focused Diet
KFC,Grape Jelly Packet,35,7,
KFC,Sweet Kernel Corn (Family),280,8,
KFC,Musselman’s™ Applesauce,45,8,
KFC,Macaroni Salad,140,9,
KFC,Coleslaw,170,10,
KFC,Milk 1%,90,10,
,,,,No Red Meat
KFC,KENTUCKY GRILLED CHICKEN Whole Wing,70,9,
KFC,KENTUCKY GRILLED CHICKEN Drumstick,80,11,
KFC,SPICY CRISPY CHICKEN Whole Wing,120,7,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130,12,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130,10,
KFC,SPICY CRISPY CHICKEN Drumstick,130,9,
KFC,KENTUCKY GRILLED CHICKEN Thigh,150,17,
KFC,EXTRA CRISPY  Chicken Drumstick,170,10,
KFC,EXTRA CRISPY  Chicken Whole Wing,170,10,
KFC,KENTUCKY GRILLED CHICKEN Breast,210,38,
KFC,Chicken Drumstick,250,11,
KFC,SPICY CRISPY CHICKEN Thigh,270,13,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,
KFC,Chicken Whole Wing,290,10,
KFC,Chicken Littles,300,14,
KFC,Chicken Littles – Buffalo,310,14,
KFC,Chicken Littles – Honey BBQ,320,14,
KFC,EXTRA CRISPY  Chicken Thigh,330,22,
KFC,Chicken Littles – Nashville Hot,340,14,
KFC,SPICY CRISPY CHICKEN Breast,350,30,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,390,39,
KFC,Chicken Thigh,500,22,
KFC,EXTRA CRISPY  Chicken Breast,530,35,
